Source,Destination,Distance,Fuel Consumption,Cost
JAX,PHX,2723,13339.29,53687.21
BWI,ABQ,1262,6694.79,29312.44
ANC,TPA,2437,12832.88,52933.73
HOU,PBI,1181,5497.84,22170.71
OGG,SAT,1286,6142.91,23535.94
BOS,TPA,2705,14546.23,58528.55
BNA,DAL,2423,12819.02,46391.73
IND,PVD,2603,13011.08,52182.82
CHS,SYR,877,4508.07,18064.06
HNL,ANC,926,4638.12,17334.14
DSM,BNA,1255,5877.71,22459.5
CLE,PHL,2738,12956.99,52565.29
TUS,SAN,1125,5076.44,21122.62
EWR,JAX,2452,11558.41,45133.79
DTW,BDL,3370,17252.08,68319.46
SLC,GRR,2141,11180.89,42819.2
TUL,MCO,2652,14394.37,57803.46
RSW,ONT,2332,12115.26,46792.09
BOS,DFW,1618,8344.81,33449.66
SAT,SJU,843,4314.94,16963.48
RSW,SAT,917,4588.21,19779.65
BDL,ATL,985,4587.88,18513.06
BUR,MCI,2938,15120.19,63990.64
LIH,RIC,2528,12917.64,54536.85
SLC,RNO,2968,13815.13,51612.68
EWR,ATL,477,2174.56,9159.99
JAX,ELP,421,2239.14,8321.75
LAX,SYR,1282,6032.75,22772.94
ABQ,DFW,1522,7957.79,30289.18
SJU,ABQ,1610,7917.29,34042.48
RNO,ORF,2043,9805.57,38118.27
BOI,AUS,2009,10221.77,42894.48
MIA,TUL,1322,6924.42,30131.73
GRR,SFO,2836,13805.32,54616.58
MDW,SJC,3389,17719.24,74266.19
OKC,ROC,1180,6484.07,23667.36
FLL,CLT,2322,10967.04,47647.52
PDX,LAX,1841,8754.92,34252.24
BOI,TUL,3070,15709.41,57982.03
SFO,RIC,3263,16961.1,65171.11
SMF,GSO,3174,14493.07,56934.14
DEN,ORF,609,3276.66,13100.81
DAL,CLT,677,3363.03,13684.13
HNL,SNA,3060,16707.32,70132.47
ROC,AUS,3197,15040.26,60408.14
ANC,SFO,1252,6495.95,24878.22
MSP,RNO,1526,7988.64,33910.84
PVD,DCA,2963,15043.38,60858.44
ABQ,ORF,1600,7807.52,32496.4
SLC,MCI,2260,12009.17,45172.79
CLT,EWR,3344,17552.29,70038.81
LAX,ANC,2770,12560.38,48984.27
PHL,LGA,548,2762.12,11877.44
IND,RNO,1766,9186.53,38368.87
SAN,SDF,1363,7174.97,29124.2
SYR,JAX,2844,13693.39,54273.26
SDF,LGA,1561,7830.21,31454.57
DCA,FLL,2715,12856.61,47538.78
SNA,ORF,521,2417.2,10435.97
CHS,OMA,2428,13248.76,56668.34
PSP,SYR,2683,12703.19,55650.41
RSW,PHX,701,3160.26,13556.25
MHT,BOS,866,4452.94,16669.35
ROC,DCA,990,4994.52,20768.98
STL,ABQ,1571,7815.98,28162.2
GRR,PSP,3097,15165.39,54851.49
SJU,ROC,2786,12693.83,46549.32
PHX,PSP,3099,15675.83,66234.77
MHT,OMA,2611,13322.73,52865.85
BUR,ORD,959,4551.91,19870.27
ORD,MCO,1784,9128.48,38294.36
SJC,OGG,3332,15533.12,66638.53
MCO,SNA,607,3297.55,13426.93
RSW,JAX,1468,6948.7,25183.82
OMA,OGG,1265,6588.03,27544.12
SEA,BUR,3495,18504.07,68994.32
DEN,FLL,838,4148.37,16424.55
IAD,DFW,2286,11014.12,44963.71
SJU,SFO,573,2734.4,11761.24
PBI,MIA,358,1650.08,6232.21
GSO,PDX,1464,7623.32,28345.18
OKC,CLE,2999,15371.04,60453.6
BOS,MHT,3387,17673.26,75074.94
LGA,RNO,592,2843.96,10830.15
STL,LIH,1012,4793.49,17364.94
TPA,ROC,1539,7878.95,29048.75
DCA,RNO,3035,15614.91,64002.73
SMF,ONT,362,1676.13,6114.64
RIC,ANC,2346,11300.55,45566.16
IAH,PVD,2229,12251.93,51873.46
AUS,MSP,1885,9089.95,38619.7
RIC,LAX,477,2200.5,9417.76
